id,name,area,salary,employer,snippet,schedule,accept_temporary,experience,employer_short,area_short,schedule_short,salary_from,salary_to
69680176,Junior data Engineer,"{'id': '160', 'name': 'Алматы', 'url': 'https://api.hh.ru/areas/160'}","{'from': 150000, 'to': 180000, 'currency': 'KZT', 'gross': True}","{'id': '4338378', 'name': 'Кужугалдинов Е.С.', 'url': 'https://api.hh.ru/employers/4338378', 'alternate_url': 'https://hh.ru/employer/4338378', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/925996.jpg', '240': 'https://hhcdn.ru/employer-logo/4144545.jpeg', '90': 'https://hhcdn.ru/employer-logo/4144544.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4338378', 'trusted': True}","{'requirement': 'Высшее или Неоконченное высшее в сфере ИТ. Желательно знание и опыт использования SQL. Аналитический склад ума. Внимательность, самостоятельность, ответственность, быстрая...', 'responsibility': 'Поддержка, автоматизация и доработка существующих отчетов в MS Power BI. Разработка новых отчетов в MS Power BI. Построение ETL процессов...'}","{'id': 'fullDay', 'name': 'Полный день'}",False,noExperience,Кужугалдинов Е.С.,Алматы,Полный день,18851.550000000003,22621.86
69647008,Data Инженер,"{'id': '160', 'name': 'Алматы', 'url': 'https://api.hh.ru/areas/160'}",,"{'id': '23817', 'name': 'Народный банк Казахстана', 'url': 'https://api.hh.ru/employers/23817', 'alternate_url': 'https://hh.ru/employer/23817', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/314519.png', '240': 'https://hhcdn.ru/employer-logo/387376.png', 'original': 'https://hhcdn.ru/employer-logo-original/227106.gif'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=23817', 'trusted': True}","{'requirement': 'Высшее техническое образование (ИТ, физико-математическое). Знание: БД SQL (MySQL, MsSql, PostgreSQL, Oracle PLSQL). Знания ETL процессов. Опыт тестирования и...', 'responsibility': 'Разработка требований к качеству данных и применения процедур <highlighttext>Data</highlighttext> Quality. Анализ причин ошибок в коде/мэппингах. Написание оптимальных аналитических запросов. '}","{'id': 'fullDay', 'name': 'Полный день'}",False,noExperience,Народный банк Казахстана,Алматы,Полный день,,
69212546,Data Engineer/Инженер данных,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 75000, 'to': 150000, 'currency': 'RUR', 'gross': False}","{'id': '925973', 'name': 'АНАЛИТИКА ПЛЮС', 'url': 'https://api.hh.ru/employers/925973', 'alternate_url': 'https://hh.ru/employer/925973', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2415970.jpeg', '90': 'https://hhcdn.ru/employer-logo/2415969.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/493554.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=925973', 'trusted': True}","{'requirement': 'Высшее техническое/ математическое образование (можно неоконченное, студенты выпускных курсов). Продвинутые навыки SQL (оптимизация запросов, оконные функции, навыки построения витрин). ', 'responsibility': 'Участие в разработке, внедрении, поддержке BI решений: Создание ETL-процессов, используя внутренние и внешние источники данных. Разработка и поддержка инфраструктуры...'}","{'id': 'remote', 'name': 'Удаленная работа'}",False,noExperience,АНАЛИТИКА ПЛЮС,Москва,Удаленная работа,75000.0,150000.0
69100086,Junior Business Intelligence Analyst,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 1000, 'to': 2000, 'currency': 'USD', 'gross': False}","{'id': '2918899', 'name': 'Inca Digital', 'url': 'https://api.hh.ru/employers/2918899', 'alternate_url': 'https://hh.ru/employer/2918899', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/5383748.png', '240': 'https://hhcdn.ru/employer-logo/5383749.png', 'original': 'https://hhcdn.ru/employer-logo-original/962430.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2918899', 'trusted': True}","{'requirement': 'Tools. - Fluent English. We are an international team and most of the business is conducted in English. - Willingness to learn. ', 'responsibility': 'Collecting <highlighttext>data</highlighttext> from our internal systems. - Leveraging collected <highlighttext>data</highlighttext> to make sure our day-to-day business operations follow our...'}","{'id': 'remote', 'name': 'Удаленная работа'}",True,noExperience,Inca Digital,Санкт-Петербург,Удаленная работа,60015.799999999996,120031.59999999999
69602568,Operations Analyst,"{'id': '160', 'name': 'Алматы', 'url': 'https://api.hh.ru/areas/160'}",,"{'id': '4240198', 'name': 'Glovo Kazakhstan', 'url': 'https://api.hh.ru/employers/4240198', 'alternate_url': 'https://hh.ru/employer/4240198', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/701936.png', '90': 'https://hhcdn.ru/employer-logo/3248860.png', '240': 'https://hhcdn.ru/employer-logo/3248861.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4240198', 'trusted': True}","{'requirement': 'Bachelor in <highlighttext>Engineering</highlighttext>, Maths or any technological domain. Passionate about analytics: you enjoy deep diving into problems to find the...', 'responsibility': 'Provide analytical support to the operations team in Almaty office. Perform analysis to come up with some insights to help...'}","{'id': 'fullDay', 'name': 'Полный день'}",False,noExperience,Glovo Kazakhstan,Алматы,Полный день,,
69168184,Senior Data Engineer (Greenplum Developer),"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': '675', 'name': 'КОРУС Консалтинг', 'url': 'https://api.hh.ru/employers/675', 'alternate_url': 'https://hh.ru/employer/675', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3883095.jpeg', '240': 'https://hhcdn.ru/employer-logo/3883096.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/860555.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=675', 'trusted': True}","{'requirement': 'Опыт работы с СУБД PostgreSQL (от 3-х лет). Опыт работы с GreenPlum (от 1 года). Умение проектировать и реализовывать...', 'responsibility': 'Проектировать и реализовывать ETL-слои для информационных потоков. Проектировать и реализовывать слои детальных данных. Реализовывать расчетные показатели. Проектировать и реализовывать...'}","{'id': 'fullDay', 'name': 'Полный день'}",False,noExperience,КОРУС Консалтинг,Санкт-Петербург,Полный день,,
68093905,Data Engineer (Junior),"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 40000, 'to': 100000, 'currency': 'RUR', 'gross': False}","{'id': '665449', 'name': 'Строительный Двор', 'url': 'https://api.hh.ru/employers/665449', 'alternate_url': 'https://hh.ru/employer/665449', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/724435.jpg', '90': 'https://hhcdn.ru/employer-logo/3338828.jpeg', '240': 'https://hhcdn.ru/employer-logo/3338829.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=665449', 'trusted': True}","{'requirement': 'Наличие e-learning сертификатов (Coursera, Udemy, Edx) о прохождении обучения по технологиям <highlighttext>data</highlighttext> <highlighttext>engineering</highlighttext>. Стек используемых технологий: SAS Viya, SAS...', 'responsibility': 'Ищем специалиста в области <highlighttext>Data</highlighttext> <highlighttext>Engineering</highlighttext> для решения задач в области DIY ритейла, е-commerce для крупной компании с развитой...'}","{'id': 'fullDay', 'name': 'Полный день'}",False,noExperience,Строительный Двор,Москва,Полный день,40000.0,100000.0
69300682,Стажер Data Engineer,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/868362.JPG', '90': 'https://hhcdn.ru/employer-logo/3914323.jpeg', '240': 'https://hhcdn.ru/employer-logo/3914324.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'trusted': True}","{'requirement': 'Высшее/незаконченное высшее образование, специализация: ИТ, математика, техническое образование. Хорошее знание SQL, написание сложных, длинных запросов\\процедур. Желателен опыт работы...', 'responsibility': 'Сейчас мы в поиске стажера на вакансию Стажер <highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext> в команду управления моделированием и исследованием данных. Задачи: Участие в...'}","{'id': 'fullDay', 'name': 'Полный день'}",False,noExperience,СБЕР,Москва,Полный день,,
69968409,Assistant Professor - Software Development and Engineering,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 170000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': '1160188', 'name': 'Университет Иннополис', 'url': 'https://api.hh.ru/employers/1160188', 'alternate_url': 'https://hh.ru/employer/1160188', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3935248.png', '90': 'https://hhcdn.ru/employer-logo/3935247.png', 'original': 'https://hhcdn.ru/employer-logo-original/873593.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1160188', 'trusted': True}","{'requirement': 'PhD degree and published research in programming languages, compilers, databases, OS. Industry experience in the related area (preferred).', 'responsibility': 'Up to 120 academic hours of frontal teaching typically distributed in 4 courses per year, leading high quality research, advising...'}","{'id': 'fullDay', 'name': 'Полный день'}",False,noExperience,Университет Иннополис,Москва,Полный день,170000.0,
69968410,Assistant Professor - Software Development and Engineering,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 170000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': '1160188', 'name': 'Университет Иннополис', 'url': 'https://api.hh.ru/employers/1160188', 'alternate_url': 'https://hh.ru/employer/1160188', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3935248.png', '90': 'https://hhcdn.ru/employer-logo/3935247.png', 'original': 'https://hhcdn.ru/employer-logo-original/873593.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1160188', 'trusted': True}","{'requirement': 'PhD degree and published research in programming languages, compilers, databases, OS. Industry experience in the related area (preferred).', 'responsibility': 'Up to 120 academic hours of frontal teaching typically distributed in 4 courses per year, leading high quality research, advising...'}","{'id': 'fullDay', 'name': 'Полный день'}",False,noExperience,Университет Иннополис,Санкт-Петербург,Полный день,170000.0,
